--- x2[i][j][t] nonzero ---
x2[1][1][0] = 0.10000000
x2[1][1][1] = 0.10000000
x2[1][1][2] = 0.10000000
x2[1][1][3] = 0.10000000
x2[1][1][4] = 0.10000000
x2[1][1][5] = 0.10000000
x2[1][1][6] = 0.10000000
x2[1][1][7] = 0.10000000
x2[1][1][8] = 0.10000000
x2[1][1][9] = 0.10000000
x2[1][1][24] = 0.10000000
x2[1][1][25] = 0.10000000
x2[1][1][26] = 0.10000000
x2[1][1][27] = 0.10000000
x2[1][1][28] = 0.10000000
x2[1][1][29] = 0.10000000
x2[1][1][30] = 0.10000000
x2[1][1][31] = 0.10000000
x2[1][1][32] = 0.10000000
x2[1][1][33] = 0.10000000
x2[1][1][34] = 0.10000000
x2[1][1][35] = 0.10000000
x2[1][1][39] = 0.10000000
x2[1][1][40] = 0.10000000
x2[1][1][41] = 0.10000000
x2[1][1][42] = 0.10000000
x2[1][1][43] = 0.10000000
x2[1][1][44] = 0.10000000
x2[1][1][45] = 0.10000000
x2[1][1][46] = 0.10000000
x2[1][1][47] = 0.10000000
x2[1][2][11] = 0.10000000
x2[1][2][18] = 0.10000000
x2[1][2][19] = 0.10000000
x2[1][2][20] = 0.10000000
x2[1][2][21] = 0.10000000
x2[1][2][22] = 0.10000000
x2[1][2][23] = 0.10000000
x2[1][3][10] = 0.10000000
x2[1][3][12] = 0.10000000
x2[1][3][13] = 0.10000000
x2[1][3][14] = 0.10000000
x2[1][3][15] = 0.10000000
x2[1][3][16] = 0.10000000
x2[1][3][17] = 0.10000000
x2[1][3][36] = 0.10000000
x2[1][3][37] = 0.10000000
x2[1][3][38] = 0.10000000
x2[2][1][0] = 0.10000000
x2[2][1][1] = 0.10000000
x2[2][1][2] = 0.10000000
x2[2][1][3] = 0.10000000
x2[2][1][4] = 0.10000000
x2[2][1][5] = 0.10000000
x2[2][1][6] = 0.10000000
x2[2][1][7] = 0.10000000
x2[2][1][8] = 0.10000000
x2[2][1][9] = 0.10000000
x2[2][1][24] = 0.01071685
x2[2][1][25] = 0.01071685
x2[2][1][26] = 0.01071685
x2[2][1][27] = 0.01071685
x2[2][1][28] = 0.01071685
x2[2][1][29] = 0.01071685
x2[2][1][30] = 0.01071685
x2[2][1][31] = 0.00066209
x2[2][1][32] = 0.10000000
x2[2][1][33] = 0.10000000
x2[2][1][34] = 0.10000000
x2[2][1][35] = 0.10000000
x2[2][1][39] = 0.02414100
x2[2][1][40] = 0.01956499
x2[2][1][41] = 0.01498897
x2[2][1][42] = 0.01041295
x2[2][1][43] = 0.00833036
x2[2][1][44] = 0.00624777
x2[2][1][45] = 0.00416518
x2[2][1][46] = 0.00208259
x2[2][2][11] = 0.10000000
x2[2][2][18] = 0.10000000
x2[2][2][19] = 0.10000000
x2[2][2][20] = 0.10000000
x2[2][2][21] = 0.07699592
