--- x2[i][j][t] nonzero ---
x2[1][1][0] = 0.10000000
x2[1][1][1] = 0.10000000
x2[1][1][2] = 0.10000000
x2[1][1][3] = 0.10000000
x2[1][1][4] = 0.10000000
x2[1][1][5] = 0.10000000
x2[1][1][6] = 0.10000000
x2[1][1][7] = 0.10000000
x2[1][1][8] = 0.10000000
x2[1][1][9] = 0.10000000
x2[1][1][10] = 0.10000000
x2[1][1][11] = 0.10000000
x2[1][1][18] = 0.10000000
x2[1][1][19] = 0.10000000
x2[1][1][20] = 0.10000000
x2[1][1][22] = 0.10000000
x2[1][1][23] = 0.10000000
x2[1][1][24] = 0.10000000
x2[1][1][25] = 0.10000000
x2[1][1][26] = 0.10000000
x2[1][1][29] = 0.10000000
x2[1][1][30] = 0.10000000
x2[1][1][31] = 0.10000000
x2[1][1][32] = 0.10000000
x2[1][1][33] = 0.10000000
x2[1][1][34] = 0.10000000
x2[1][1][42] = 0.10000000
x2[1][1][43] = 0.10000000
x2[1][1][44] = 0.10000000
x2[1][1][45] = 0.10000000
x2[1][1][46] = 0.10000000
x2[1][1][47] = 0.10000000
x2[1][2][35] = 0.10000000
x2[1][2][40] = 0.10000000
x2[1][2][41] = 0.10000000
x2[1][3][12] = 0.10000000
x2[1][3][13] = 0.10000000
x2[1][3][14] = 0.10000000
x2[1][3][15] = 0.10000000
x2[1][3][16] = 0.10000000
x2[1][3][17] = 0.10000000
x2[1][3][21] = 0.10000000
x2[1][3][27] = 0.10000000
x2[1][3][28] = 0.10000000
x2[1][3][36] = 0.10000000
x2[1][3][37] = 0.10000000
x2[1][3][38] = 0.10000000
x2[1][3][39] = 0.10000000
x2[2][1][0] = 0.10000000
x2[2][1][1] = 0.10000000
x2[2][1][2] = 0.10000000
x2[2][1][3] = 0.10000000
x2[2][1][4] = 0.10000000
x2[2][1][5] = 0.10000000
x2[2][1][6] = 0.10000000
x2[2][1][7] = 0.10000000
x2[2][1][8] = 0.10000000
x2[2][1][9] = 0.10000000
x2[2][1][10] = 0.10000000
x2[2][1][11] = 0.10000000
x2[2][1][18] = 0.10000000
x2[2][1][19] = 0.10000000
x2[2][1][20] = 0.10000000
x2[2][1][22] = 0.10000000
x2[2][1][23] = 0.10000000
x2[2][1][24] = 0.10000000
x2[2][1][25] = 0.10000000
x2[2][1][26] = 0.10000000
x2[2][1][29] = 0.10000000
x2[2][1][30] = 0.10000000
x2[2][1][31] = 0.10000000
x2[2][1][32] = 0.10000000
x2[2][1][33] = 0.10000000
x2[2][1][34] = 0.10000000
x2[2][1][42] = 0.01071685
x2[2][1][43] = 0.00066209
x2[2][2][35] = 0.10000000
x2[2][2][40] = 0.05490290
x2[2][2][41] = 0.03280987
x2[2][3][12] = 0.10000000
x2[2][3][13] = 0.10000000
x2[2][3][14] = 0.10000000
x2[2][3][15] = 0.10000000
