t,A,B,C,D
TOTAL,2859.732454623523,-141227.53971112726,0.0,0.0
0,0.0,-0.0,-0.0,0.0
1,0.0,-0.0,-0.0,0.0
2,3947.368421052631,-0.0,-0.0,0.0
3,-0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,-0.0,0.0
5,0.0,-0.0,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,-1712.945,-0.0,-0.0,0.0
8,-2677.7175,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,0.0,-0.0,-0.0,0.0
12,0.0,-14812.732500000002,-0.0,0.0
13,0.0,-14812.732500000002,-0.0,0.0
14,0.0,-14785.657500000001,-0.0,0.0
15,0.0,-14785.657500000001,-0.0,0.0
16,0.0,-14785.657500000001,-0.0,0.0
17,0.0,-14825.728500000001,-0.0,0.0
18,0.0,-0.0,-0.0,0.0
19,0.0,-0.0,-0.0,0.0
20,0.0,-0.0,-0.0,0.0
21,0.0,-0.0,-0.0,0.0
22,0.0,-0.0,-0.0,0.0
23,0.0,-0.0,-0.0,0.0
24,5017.591139010374,-0.0,-0.0,0.0
25,0.0,-0.0,-0.0,0.0
26,0.0,-0.0,-0.0,0.0
27,0.0,-0.0,-0.0,0.0
28,0.0,-0.0,-0.0,0.0
29,0.0,-0.0,-0.0,0.0
30,0.0,-7088.412339382356,-0.0,0.0
31,0.0,-7098.19832991085,-0.0,0.0
32,0.0,-7098.19832991085,-0.0,0.0
33,0.0,-7138.460690942368,-0.0,0.0
34,-860.7723912658737,-7138.740290671753,-0.0,0.0
35,0.0,-7138.460690942368,-0.0,0.0
36,0.0,-1255.6890608817887,-0.0,0.0
37,-2241.100141936515,-1270.1953998502245,-0.0,0.0
38,-2241.100141936515,-1270.1953998502245,-0.0,0.0
39,0.0,-1263.8329704781036,-0.0,0.0
40,0.0,-1263.7057218906612,-0.0,0.0
41,0.0,-1256.707049581328,-0.0,0.0
42,0.0,-356.3330526657793,-0.0,0.0
43,0.0,-356.3330526657793,-0.0,0.0
44,0.0,-359.6340414520542,-0.0,0.0
45,0.0,-356.3330526657793,-0.0,0.0
46,0.0,-355.9855801619609,-0.0,0.0
47,3628.408069699421,-353.95865722302017,-0.0,0.0
