--- x2[i][j][t] nonzero ---
x2[1][1][0] = 0.10000000
x2[1][1][1] = 0.10000000
x2[1][1][2] = 0.10000000
x2[1][1][3] = 0.10000000
x2[1][1][4] = 0.10000000
x2[1][1][5] = 0.10000000
x2[1][1][6] = 0.10000000
x2[1][1][9] = 0.10000000
x2[1][1][10] = 0.10000000
x2[1][1][11] = 0.10000000
x2[1][1][18] = 0.10000000
x2[1][1][19] = 0.10000000
x2[1][1][20] = 0.10000000
x2[1][1][21] = 0.10000000
x2[1][1][22] = 0.10000000
x2[1][1][23] = 0.10000000
x2[1][1][24] = 0.10000000
x2[1][1][25] = 0.10000000
x2[1][1][26] = 0.10000000
x2[1][1][27] = 0.10000000
x2[1][1][28] = 0.10000000
x2[1][1][29] = 0.10000000
x2[1][1][36] = 0.10000000
x2[1][1][40] = 0.10000000
x2[1][1][41] = 0.10000000
x2[1][1][42] = 0.10000000
x2[1][1][43] = 0.10000000
x2[1][1][44] = 0.10000000
x2[1][1][45] = 0.10000000
x2[1][1][46] = 0.10000000
x2[1][1][47] = 0.10000000
x2[1][2][7] = 0.10000000
x2[1][2][30] = 0.10000000
x2[1][2][31] = 0.10000000
x2[1][2][32] = 0.10000000
x2[1][2][33] = 0.10000000
x2[1][2][34] = 0.10000000
x2[1][2][35] = 0.10000000
x2[1][2][39] = 0.10000000
x2[1][3][8] = 0.10000000
x2[1][3][12] = 0.10000000
x2[1][3][13] = 0.10000000
x2[1][3][14] = 0.10000000
x2[1][3][15] = 0.10000000
x2[1][3][16] = 0.10000000
x2[1][3][17] = 0.10000000
x2[1][3][37] = 0.10000000
x2[1][3][38] = 0.10000000
x2[2][1][0] = 0.10000000
x2[2][1][1] = 0.10000000
x2[2][1][2] = 0.10000000
x2[2][1][3] = 0.10000000
x2[2][1][4] = 0.10000000
x2[2][1][5] = 0.10000000
x2[2][1][6] = 0.10000000
x2[2][1][9] = 0.10000000
x2[2][1][10] = 0.10000000
x2[2][1][11] = 0.10000000
x2[2][1][18] = 0.10000000
x2[2][1][19] = 0.10000000
x2[2][1][20] = 0.10000000
x2[2][1][21] = 0.10000000
x2[2][1][22] = 0.10000000
x2[2][1][23] = 0.10000000
x2[2][1][24] = 0.10000000
x2[2][1][25] = 0.10000000
x2[2][1][26] = 0.10000000
x2[2][1][27] = 0.10000000
x2[2][1][28] = 0.10000000
x2[2][1][29] = 0.10000000
x2[2][1][36] = 0.10000000
x2[2][1][40] = 0.04298959
x2[2][1][41] = 0.03293484
x2[2][1][42] = 0.02288009
x2[2][1][43] = 0.01830407
x2[2][1][44] = 0.01372805
x2[2][1][45] = 0.00915203
x2[2][1][46] = 0.00457602
x2[2][2][7] = 0.10000000
x2[2][2][30] = 0.10000000
x2[2][2][31] = 0.10000000
x2[2][2][32] = 0.10000000
x2[2][2][33] = 0.10000000
