--- y2[i][j][t] nonzero ---
y2[4][1][13] = 0.10000000
y2[4][1][33] = 0.10000000
y2[4][2][13] = 0.10000000
y2[4][2][33] = 0.10000000
y2[4][3][13] = 0.10000000
y2[4][3][33] = 0.10000000
y2[6][1][1] = 0.10000000
y2[6][2][1] = 0.10000000
y2[6][3][1] = 0.10000000
y2[7][1][32] = 0.10000000
y2[7][2][32] = 0.10000000
y2[7][3][32] = 0.10000000
y2[8][1][12] = 0.10000000
y2[8][2][12] = 0.10000000
y2[8][3][12] = 0.10000000
y2[10][1][10] = 0.10000000
y2[10][1][31] = 0.10000000
y2[10][2][10] = 0.10000000
y2[10][2][31] = 0.10000000
y2[10][3][10] = 0.10000000
y2[10][3][31] = 0.10000000
